scenario	repetition	position	candidate	runner_exit	start_utc	end_utc	raw_run_dir	overlay_run_dir	status_source_sha256	manifest_sha256	matrix_driver_sha256
w1-udp	1	1	go	1	2026-09-23T19:57:58Z	2026-09-23T19:58:19Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w1-udp/repetition-1/go	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w1-udp/repetition-1/go	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w1-udp	1	2	rust	1	2026-09-23T19:58:19Z	2026-09-23T19:58:41Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w1-udp/repetition-1/rust	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w1-udp/repetition-1/rust	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w1-udp	2	1	rust	0	2026-09-23T19:58:41Z	2026-09-23T19:59:02Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w1-udp/repetition-2/rust	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w1-udp/repetition-2/rust	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w1-udp	2	2	go	1	2026-09-23T19:59:02Z	2026-09-23T19:59:24Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w1-udp/repetition-2/go	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w1-udp/repetition-2/go	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w1-udp	3	1	go	1	2026-09-23T19:59:24Z	2026-09-23T19:59:46Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w1-udp/repetition-3/go	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w1-udp/repetition-3/go	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w1-udp	3	2	rust	0	2026-09-23T19:59:46Z	2026-09-23T20:00:07Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w1-udp/repetition-3/rust	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w1-udp/repetition-3/rust	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w1-tcp	1	1	go	1	2026-09-23T20:00:07Z	2026-09-23T20:00:26Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w1-tcp/repetition-1/go	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w1-tcp/repetition-1/go	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w1-tcp	1	2	rust	1	2026-09-23T20:00:26Z	2026-09-23T20:00:45Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w1-tcp/repetition-1/rust	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w1-tcp/repetition-1/rust	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w1-tcp	2	1	rust	1	2026-09-23T20:00:45Z	2026-09-23T20:01:03Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w1-tcp/repetition-2/rust	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w1-tcp/repetition-2/rust	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
w1-tcp	2	2	go	1	2026-09-23T20:01:03Z	2026-09-23T20:01:22Z	/root/mosdns-rust-phase5a-first-native-performance-605c305/results/official-v2/w1-tcp/repetition-2/go	/root/mosdns-rust-phase5a-first-native-performance-605c305/evidence-official-v2/analysis-overlay-v2/w1-tcp/repetition-2/go	b89284358a93e9c434c98f62a61fb2cfae4bcabedab0109aa171d21d98fe0d8d	3d8b76e8799bf709ef7e19df9edd6245936f05f9c4e09230dd49ecdaaf000f13	d7cd9cc786afcf343a0546a1ffe97883a064a39dd3686769128fc1077dcb8c18
