scenario	repetition	position	candidate	stage	role	pid	sample_count	sample_interval_s	cpu_ticks	user_system_cpu_ms	cpu_percent_one_core	cpu_resolution_percent_one_core	cpu_us_per_correct_on_time	cpu_resolution_us_per_correct_on_time	rss_median_kib	rss_peak_kib	fd_median	fd_peak	stage_invalid_reason	pair_valid
w1-udp	1	1	go	normal-reference	fixture-1	65444	4	3.002539	1	10.0	0.333	0.333			8622.0	8712	7.0	7		true
w1-udp	1	1	go	normal-reference	load-generator	65487	4	3.002459	5	50.0	1.665	0.333			15806.0	15888	9.0	10		true
w1-udp	1	1	go	normal-reference	sut	65468	4	3.002446	3	30.0	0.999	0.333	50.0	16.667	32630.0	34704	9.0	9		true
w1-udp	1	1	go	common-load	fixture-1	65444	4	3.002933	3	30.0	0.999	0.333			8784.0	10904	7.0	7		true
w1-udp	1	1	go	common-load	load-generator	65522	4	3.00284	9	90.0	2.997	0.333			13854.0	13872	9.5	10		true
w1-udp	1	1	go	common-load	sut	65468	4	3.002692	7	70.0	2.331	0.333	58.333	8.333	35792.0	36852	9.0	9		true
w1-udp	1	1	go	near-saturation	fixture-1	65444	4	3.002425	4	40.0	1.332	0.333			10912.0	10928	7.0	7		true
w1-udp	1	1	go	near-saturation	load-generator	65558	4	3.002462	16	160.0	5.329	0.333			13872.0	13896	10.0	10		true
w1-udp	1	1	go	near-saturation	sut	65468	4	3.002429	10	100.0	3.331	0.333	41.667	4.167	40016.0	43164	9.0	9		true
w1-udp	1	1	go	overload	fixture-1	65444	4	3.002083	4	40.0	1.332	0.333			10940.0	13008	7.0	7		false
w1-udp	1	1	go	overload	load-generator	65595	4	3.002042	15	150.0	4.997	0.333			14396.0	14652	10.0	11		false
w1-udp	1	1	go	overload	sut	65468	4	3.002131	10	100.0	3.331	0.333	33.333	3.333	48390.0	51564	9.0	9		false
w1-udp	1	1	go	recovery	fixture-1	65444	4	3.002669	1	10.0	0.333	0.333			13012.0	13016	7.0	7	same-process recovery criteria failed	false
w1-udp	1	1	go	recovery	load-generator	65630	4	3.002605	6	60.0	1.998	0.333			13814.0	16580	9.0	10	same-process recovery criteria failed	false
w1-udp	1	1	go	recovery	sut	65468	4	3.002499	4	40.0	1.332	0.333	66.667	16.667	53624.0	53640	9.0	9	same-process recovery criteria failed	false
w1-udp	1	2	rust	normal-reference	fixture-1	65768	4	3.002271	2	20.0	0.666	0.333			8654.0	8744	7.0	7		true
w1-udp	1	2	rust	normal-reference	load-generator	65806	4	3.002362	5	50.0	1.665	0.333			13644.0	13720	9.0	10		true
w1-udp	1	2	rust	normal-reference	sut	65793	4	3.002417	2	20.0	0.666	0.333	33.333	16.667	3184.0	3184	7.0	8		true
w1-udp	1	2	rust	common-load	fixture-1	65768	4	3.003033	1	10.0	0.333	0.333			9780.0	10808	7.0	7		true
w1-udp	1	2	rust	common-load	load-generator	65842	4	3.002817	7	70.0	2.331	0.333			13814.0	13836	9.5	10		true
w1-udp	1	2	rust	common-load	sut	65793	4	3.00275	4	40.0	1.332	0.333	33.333	8.333	3184.0	3184	7.5	8		true
w1-udp	1	2	rust	near-saturation	fixture-1	65768	4	3.002257	4	40.0	1.332	0.333			10816.0	10832	7.0	7		true
w1-udp	1	2	rust	near-saturation	load-generator	65877	4	3.00225	14	140.0	4.663	0.333			13822.0	13856	10.0	11		true
w1-udp	1	2	rust	near-saturation	sut	65793	4	3.002351	7	70.0	2.332	0.333	29.167	4.167	3216.0	3248	7.5	8		true
w1-udp	1	2	rust	overload	fixture-1	65768	4	3.002859	4	40.0	1.332	0.333			10840.0	10852	7.0	7	sender shortfall or scheduled query not sent	false
w1-udp	1	2	rust	overload	load-generator	65915	4	3.002845	22	220.0	7.326	0.333			14456.0	14660	10.5	11	sender shortfall or scheduled query not sent	false
w1-udp	1	2	rust	overload	sut	65793	4	3.002849	10	100.0	3.33	0.333	33.344	3.334	3252.0	3252	7.0	7	sender shortfall or scheduled query not sent	false
w1-udp	1	2	rust	recovery	fixture-1	65768	4	3.00199	2	20.0	0.666	0.333			10854.0	12904	7.0	7	same-process recovery criteria failed	false
