scenario	repetition	position	candidate	stage	target_qps	duration_ms	runner_exit	stage_invalid_reason	valid_pairs	complete_pairs	pair_valid	correct_on_time	scheduled	sent	received	correct_late	expected_negative_on_time	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	latency_sample_count	p50_us	p95_us	p99_us	effective_throughput_qps
w1-udp	1	1	go	normal-reference	200	3000	1		3	3	true	600	600	600	600	0	200	0	0	0	0	0	600	100	238	367	200
w1-udp	1	1	go	common-load	400	3000	1		3	3	true	1200	1200	1200	1200	0	400	0	0	0	0	0	1200	111	248	358	400
w1-udp	1	1	go	near-saturation	800	3000	1		2	3	true	2400	2400	2400	2400	0	800	0	0	0	0	0	2400	84	170	295	800
w1-udp	1	1	go	overload	1000	3000	1		2	3	false	3000	3000	3000	3000	0	1000	0	0	0	0	0	3000	67	156	304	1000
w1-udp	1	1	go	recovery	200	3000	1	same-process recovery criteria failed	0	3	false	600	600	600	600	0	200	0	0	0	0	0	600	102	236	356	200
w1-udp	1	2	rust	normal-reference	200	3000	1		3	3	true	600	600	600	600	0	200	0	0	0	0	0	600	98	232	313	200
w1-udp	1	2	rust	common-load	400	3000	1		3	3	true	1200	1200	1200	1200	0	400	0	0	0	0	0	1200	71	150	269	400
w1-udp	1	2	rust	near-saturation	800	3000	1		2	3	true	2400	2400	2400	2400	0	800	0	0	0	0	0	2400	65	167	308	800
w1-udp	1	2	rust	overload	1000	3000	1	sender shortfall or scheduled query not sent	2	3	false	2999	2999	2999	2999	0	999	0	0	0	0	1	2999	84	176	344	999.6666666666666
w1-udp	1	2	rust	recovery	200	3000	1	same-process recovery criteria failed	0	3	false	600	600	600	600	0	200	0	0	0	0	0	600	83	238	369	200
w1-udp	2	1	rust	normal-reference	200	3000	0		3	3	true	600	600	600	600	0	200	0	0	0	0	0	600	91	245	314	200
w1-udp	2	1	rust	common-load	400	3000	0		3	3	true	1200	1200	1200	1200	0	400	0	0	0	0	0	1200	101	221	344	400
w1-udp	2	1	rust	near-saturation	800	3000	0		2	3	true	2400	2400	2400	2400	0	800	0	0	0	0	0	2400	65	138	268	800
