scenario	repetition	candidate	run_id	stage	target_qps	runner_exit	stage_invalid_reason	scheduled	sent	received	correct_on_time	w1_positive_forward_delta	w1_negative_forward_delta	w2_cache_a_miss_delta	w2_cache_b_miss_delta	w3_domain_hit_sent	w3_ip_rule_hit_sent	w3_ip_rule_miss_sent	w3_route_a_legs_expected	w3_route_a_legs_observed	w3_route_b_legs_expected	w3_route_b_legs_observed	w3_route_c_legs_expected	w3_route_c_legs_observed	w3_route_legs_expected	w3_route_legs_observed	w3_route_legs_match	source_evidence_sha256	source_files
w1-udp	1	go	w1-udp-official-20260923T195758Z-65399	normal-reference	200	1		600	600	600	600	400	200															0ab6f80f2a71131dcb0cdabc6b4cf089869afd18a2f3cd7ab3131b18c6021bef	attempt-status.tsv;w1-udp/repetition-1/go/.run.6hq38e/counter-before-common-load.json;w1-udp/repetition-1/go/.run.6hq38e/counter-before-normal-reference.json;w1-udp/repetition-1/go/fixture-forward.json;w1-udp/repetition-1/go/invalid-stages.tsv;w1-udp/repetition-1/go/stages.jsonl
w1-udp	1	go	w1-udp-official-20260923T195758Z-65399	common-load	400	1		1200	1200	1200	1200	800	400															0f3d11c87d5a2dc2f15cc8c686766b6cd3474e55d43dda5c6dddbc605b71e666	attempt-status.tsv;w1-udp/repetition-1/go/.run.6hq38e/counter-before-common-load.json;w1-udp/repetition-1/go/.run.6hq38e/counter-before-near-saturation.json;w1-udp/repetition-1/go/fixture-forward.json;w1-udp/repetition-1/go/invalid-stages.tsv;w1-udp/repetition-1/go/stages.jsonl
w1-udp	1	go	w1-udp-official-20260923T195758Z-65399	near-saturation	800	1		2400	2400	2400	2400	1600	800															f03b3aea5c1450d40c738e4c29040711faef975096f43de610e407c7b027a392	attempt-status.tsv;w1-udp/repetition-1/go/.run.6hq38e/counter-before-near-saturation.json;w1-udp/repetition-1/go/.run.6hq38e/counter-before-overload.json;w1-udp/repetition-1/go/fixture-forward.json;w1-udp/repetition-1/go/invalid-stages.tsv;w1-udp/repetition-1/go/stages.jsonl
w1-udp	1	go	w1-udp-official-20260923T195758Z-65399	overload	1000	1		3000	3000	3000	3000	2000	1000															03ff2848ce9d75519f44b569068e7e031fbae373ec3b61e0eaae5ab1a5313474	attempt-status.tsv;w1-udp/repetition-1/go/.run.6hq38e/counter-before-overload.json;w1-udp/repetition-1/go/.run.6hq38e/counter-before-recovery.json;w1-udp/repetition-1/go/fixture-forward.json;w1-udp/repetition-1/go/invalid-stages.tsv;w1-udp/repetition-1/go/stages.jsonl
w1-udp	1	go	w1-udp-official-20260923T195758Z-65399	recovery	200	1	same-process recovery criteria failed	600	600	600	600	400	200															73d49547285deb72e9aa8337602cd9cdb8e0e087db877d2abf098a4823676b48	attempt-status.tsv;w1-udp/repetition-1/go/.run.6hq38e/counter-before-recovery.json;w1-udp/repetition-1/go/fixture-forward.json;w1-udp/repetition-1/go/invalid-stages.tsv;w1-udp/repetition-1/go/stages.jsonl
w1-udp	1	rust	w1-udp-official-20260923T195819Z-65723	normal-reference	200	1		600	600	600	600	400	200															744842e2b594f1c82fffc3363f2e6eea16d8ef3485041ee6ac3ed752ea50b612	attempt-status.tsv;w1-udp/repetition-1/rust/.run.MC0ZaI/counter-before-common-load.json;w1-udp/repetition-1/rust/.run.MC0ZaI/counter-before-normal-reference.json;w1-udp/repetition-1/rust/fixture-forward.json;w1-udp/repetition-1/rust/invalid-stages.tsv;w1-udp/repetition-1/rust/stages.jsonl
w1-udp	1	rust	w1-udp-official-20260923T195819Z-65723	common-load	400	1		1200	1200	1200	1200	800	400															8ed3113686d1d51757a78af98781c8a1d59e745361444649b44799d957fa1afd	attempt-status.tsv;w1-udp/repetition-1/rust/.run.MC0ZaI/counter-before-common-load.json;w1-udp/repetition-1/rust/.run.MC0ZaI/counter-before-near-saturation.json;w1-udp/repetition-1/rust/fixture-forward.json;w1-udp/repetition-1/rust/invalid-stages.tsv;w1-udp/repetition-1/rust/stages.jsonl
w1-udp	1	rust	w1-udp-official-20260923T195819Z-65723	near-saturation	800	1		2400	2400	2400	2400	1600	800															faa996bf659c11223b0280b988ac83c9fdb304d7a3183ea1854702cac2430f57	attempt-status.tsv;w1-udp/repetition-1/rust/.run.MC0ZaI/counter-before-near-saturation.json;w1-udp/repetition-1/rust/.run.MC0ZaI/counter-before-overload.json;w1-udp/repetition-1/rust/fixture-forward.json;w1-udp/repetition-1/rust/invalid-stages.tsv;w1-udp/repetition-1/rust/stages.jsonl
w1-udp	1	rust	w1-udp-official-20260923T195819Z-65723	overload	1000	1	sender shortfall or scheduled query not sent	2999	2999	2999	2999	2000	999															7f04264b9e0aff81a9d61251fe3cb566bfae28c6de8e6f30aaade295b8ec1a1c	attempt-status.tsv;w1-udp/repetition-1/rust/.run.MC0ZaI/counter-before-overload.json;w1-udp/repetition-1/rust/.run.MC0ZaI/counter-before-recovery.json;w1-udp/repetition-1/rust/fixture-forward.json;w1-udp/repetition-1/rust/invalid-stages.tsv;w1-udp/repetition-1/rust/stages.jsonl
w1-udp	1	rust	w1-udp-official-20260923T195819Z-65723	recovery	200	1	same-process recovery criteria failed	600	600	600	600	400	200															7afa6dad856d0f7e60fb769aa540c7cbbbfdbec68bb1d98b8ce966022f1bf6e1	attempt-status.tsv;w1-udp/repetition-1/rust/.run.MC0ZaI/counter-before-recovery.json;w1-udp/repetition-1/rust/fixture-forward.json;w1-udp/repetition-1/rust/invalid-stages.tsv;w1-udp/repetition-1/rust/stages.jsonl
