scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	296	629	1086	200	66	132.0	3172	0.17 0.13 0.17	0.31 0.17 0.18
w1-tcp	main	1	before_off	1	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	224	503	913	400	105	105.0	3176	0.17 0.13 0.17	0.31 0.17 0.18
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	310	656	1171	200	71	142.0	3000	0.31 0.17 0.18	0.37 0.19 0.18
w1-tcp	main	1	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	231	527	1059	400	107	107.0	3008	0.31 0.17 0.18	0.37 0.19 0.18
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	291	566	850	200	67	134.0	3132	0.37 0.19 0.18	0.21 0.18 0.18
w1-tcp	main	1	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	223	488	804	400	107	107.0	3136	0.37 0.19 0.18	0.21 0.18 0.18
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	304	580	896	200	68	136.0	3160	0.21 0.18 0.18	0.20 0.18 0.18
w1-tcp	main	2	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	230	519	934	400	109	109.0	3164	0.21 0.18 0.18	0.20 0.18 0.18
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	290	605	950	200	66	132.0	3136	0.20 0.18 0.18	0.49 0.26 0.21
w1-tcp	main	2	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	219	502	893	400	105	105.0	3140	0.20 0.18 0.18	0.49 0.26 0.21
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	290	564	914	200	66	132.0	3144	0.49 0.26 0.21	0.42 0.28 0.21
w1-tcp	main	2	before_off	1	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	269	633	1359	400	124	124.0	3152	0.49 0.26 0.21	0.42 0.28 0.21
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	339	700	1466	200	74	148.0	3028	0.42 0.28 0.21	0.57 0.34 0.24
w1-tcp	main	3	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	283	662	1484	400	129	129.0	3032	0.42 0.28 0.21	0.57 0.34 0.24
w1-tcp	main	3	before_off	1	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	362	758	1665	200	77	154.0	3136	0.57 0.34 0.24	0.35 0.31 0.23
w1-tcp	main	3	before_off	1	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	228	499	851	400	108	108.0	3136	0.57 0.34 0.24	0.35 0.31 0.23
w1-tcp	main	3	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	297	584	940	200	68	136.0	3144	0.35 0.31 0.23	0.50 0.36 0.25
w1-tcp	main	3	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	231	577	1095	400	113	113.0	3148	0.35 0.31 0.23	0.50 0.36 0.25
