scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	514.0000,649.0000,516.0000	617.0000,527.0000,726.0000	20.0389,-18.7982,40.6977	0.0039	10.00%	2		repeatable regression
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	662.0000,1096.0000,664.0000	1288.0000,749.0000,1525.0000	94.5619,-31.6606,129.6687	0.0030	10.00%	2		repeatable regression
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	116.6667,133.3333,100.0000	133.3333,116.6667,150.0000	14.2857,-12.5000,50.0000	0.1429	28.57%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3152.0000,3156.0000,3000.0000	3052.0000,3224.0000,3188.0000	-3.1726,2.1546,6.2667	0.0013	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	617.0000,527.0000,726.0000	546.0000,668.0000,534.0000	-11.5073,26.7552,-26.4463	0.1459	29.17%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	1288.0000,749.0000,1525.0000	890.0000,1315.0000,733.0000	-30.9006,75.5674,-51.9344	0.1840	36.80%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	133.3333,116.6667,150.0000	133.3333,150.0000,116.6667	0.0000,28.5714,-22.2222	0.1250	25.00%	1	1	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3052.0000,3224.0000,3188.0000	3452.0000,3436.0000,3484.0000	13.1062,6.5757,9.2848	0.0113	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	423.0000,670.0000,445.0000	432.0000,443.0000,565.0000	2.1277,-33.8806,26.9663	0.0494	10.00%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	939.0000,1613.0000,632.0000	689.0000,590.0000,1368.0000	-26.6241,-63.4222,116.4557	0.3269	65.39%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	91.6667,125.0000,100.0000	100.0000,100.0000,125.0000	9.0909,-20.0000,25.0000	0.0833	25.00%	0	1	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3156.0000,3160.0000,3004.0000	3056.0000,3228.0000,3192.0000	-3.1686,2.1519,6.2583	0.0013	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p95_us	3	432.0000,443.0000,565.0000	693.0000,543.0000,519.0000	60.4167,22.5734,-8.1416	0.0248	10.00%	2		repeatable regression
