scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	262	514	662	200	7	116.66666666666667	3152	0.13 0.31 0.23	0.17 0.31 0.23
w1-tcp	main	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	201	423	939	400	11	91.66666666666667	3156	0.13 0.31 0.23	0.17 0.31 0.23
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	316	617	1288	200	8	133.33333333333334	3052	0.17 0.31 0.23	0.12 0.28 0.23
w1-tcp	main	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	199	432	689	400	12	100.0	3056	0.17 0.31 0.23	0.12 0.28 0.23
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	291	546	890	200	8	133.33333333333334	3452	0.12 0.28 0.23	0.09 0.27 0.22
w1-tcp	main	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	286	693	1277	400	16	133.33333333333334	4940	0.12 0.28 0.23	0.09 0.27 0.22
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	270	527	749	200	7	116.66666666666667	3224	0.09 0.27 0.22	0.07 0.25 0.22
w1-tcp	main	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	196	443	590	400	12	100.0	3228	0.09 0.27 0.22	0.07 0.25 0.22
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	342	668	1315	200	9	150.0	3436	0.07 0.25 0.22	0.11 0.25 0.22
w1-tcp	main	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	230	543	1058	400	14	116.66666666666667	4956	0.07 0.25 0.22	0.11 0.25 0.22
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	327	649	1096	200	8	133.33333333333334	3156	0.11 0.25 0.22	0.31 0.29 0.23
w1-tcp	main	2	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	274	670	1613	400	15	125.0	3160	0.11 0.25 0.22	0.31 0.29 0.23
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	273	534	733	200	7	116.66666666666667	3484	0.31 0.29 0.23	0.22 0.27 0.22
w1-tcp	main	3	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	225	519	1316	400	14	116.66666666666667	4992	0.31 0.29 0.23	0.22 0.27 0.22
w1-tcp	main	3	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	269	516	664	200	6	100.0	3000	0.22 0.27 0.22	0.31 0.28 0.23
w1-tcp	main	3	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	199	445	632	400	12	100.0	3004	0.22 0.27 0.22	0.31 0.28 0.23
w1-tcp	main	3	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	355	726	1525	200	9	150.0	3188	0.31 0.28 0.23	0.39 0.30 0.24
w1-tcp	main	3	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	251	565	1368	400	15	125.0	3192	0.31 0.28 0.23	0.39 0.30 0.24
w2	cold	1	before_off	1	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	181	334	675	200	3	50.0	3284	0.39 0.30 0.24	0.59 0.37 0.26
w2	warm	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	213	474	1003	200	3	50.0	3148	0.39 0.30 0.24	0.59 0.37 0.26
w2	warm	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	142	306	952	400	6	50.0	3148	0.39 0.30 0.24	0.59 0.37 0.26
w2	cold	1	after_off	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	190	354	577	200	4	66.66666666666667	3228	0.59 0.37 0.26	0.42 0.35 0.26
w2	warm	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	215	560	1490	200	3	50.0	3340	0.59 0.37 0.26	0.42 0.35 0.26
w2	warm	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	151	336	1212	400	6	50.0	3340	0.59 0.37 0.26	0.42 0.35 0.26
w2	cold	1	after_on	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	161	304	417	200	3	50.0	3320	0.42 0.35 0.26	0.33 0.33 0.26
w2	warm	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	158	302	439	200	3	50.0	3332	0.42 0.35 0.26	0.33 0.33 0.26
w2	warm	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	104	256	403	400	5	41.666666666666664	4272	0.42 0.35 0.26	0.33 0.33 0.26
w2	cold	2	after_off	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	152	301	449	200	3	50.0	3264	0.33 0.33 0.26	0.27 0.31 0.25
w2	warm	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	162	306	488	200	3	50.0	3352	0.33 0.33 0.26	0.27 0.31 0.25
w2	warm	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	95	254	484	400	5	41.666666666666664	3352	0.33 0.33 0.26	0.27 0.31 0.25
w2	cold	2	after_on	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	155	324	512	200	3	50.0	3328	0.27 0.31 0.25	0.52 0.37 0.27
w2	warm	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	173	337	494	200	3	50.0	3460	0.27 0.31 0.25	0.52 0.37 0.27
w2	warm	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	95	256	383	400	5	41.666666666666664	4404	0.27 0.31 0.25	0.52 0.37 0.27
w2	cold	2	before_off	1	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	149	307	512	200	3	50.0	3284	0.52 0.37 0.27	0.44 0.36 0.27
w2	warm	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	186	330	599	200	3	50.0	3284	0.52 0.37 0.27	0.44 0.36 0.27
w2	warm	2	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	100	269	486	400	6	50.0	3288	0.52 0.37 0.27	0.44 0.36 0.27
w2	cold	3	after_on	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	165	314	395	200	3	50.0	3464	0.44 0.36 0.27	0.27 0.33 0.27
w2	warm	3	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	252	651	1225	200	4	66.66666666666667	3452	0.44 0.36 0.27	0.27 0.33 0.27
w2	warm	3	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	109	286	455	400	6	50.0	4392	0.44 0.36 0.27	0.27 0.33 0.27
w2	cold	3	before_off	1	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	158	317	502	200	3	50.0	3116	0.27 0.33 0.27	0.22 0.31 0.26
w2	warm	3	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	157	301	434	200	3	50.0	3148	0.27 0.33 0.27	0.22 0.31 0.26
w2	warm	3	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	92	235	379	400	4	33.333333333333336	3152	0.27 0.33 0.27	0.22 0.31 0.26
w2	cold	3	after_off	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	161	323	404	200	3	50.0	3188	0.22 0.31 0.26	0.21 0.30 0.26
w2	warm	3	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	193	374	681	200	3	50.0	3316	0.22 0.31 0.26	0.21 0.30 0.26
w2	warm	3	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	111	282	429	400	5	41.666666666666664	3316	0.22 0.31 0.26	0.21 0.30 0.26
w3	main	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	372	712	909	200	6	100.0	3192	0.21 0.30 0.26	0.31 0.31 0.26
w3	main	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	323	750	1348	400	13	108.33333333333333	3260	0.21 0.30 0.26	0.31 0.31 0.26
w3	main	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	451	901	1702	200	8	133.33333333333334	3308	0.31 0.31 0.26	0.22 0.29 0.26
w3	main	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	285	634	1210	400	12	100.0	3376	0.31 0.31 0.26	0.22 0.29 0.26
w3	main	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	384	792	1241	200	7	116.66666666666667	3508	0.22 0.29 0.26	0.16 0.27 0.25
w3	main	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	295	630	840	400	11	91.66666666666667	5108	0.22 0.29 0.26	0.16 0.27 0.25
w3	main	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	433	795	1123	200	7	116.66666666666667	3252	0.16 0.27 0.25	0.44 0.33 0.27
w3	main	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	265	625	889	400	11	91.66666666666667	3320	0.16 0.27 0.25	0.44 0.33 0.27
w3	main	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	318	695	1012	200	6	100.0	3536	0.44 0.33 0.27	0.31 0.31 0.27
w3	main	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	267	599	1111	400	10	83.33333333333333	5152	0.44 0.33 0.27	0.31 0.31 0.27
w3	main	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	427	855	1345	200	7	116.66666666666667	3148	0.31 0.31 0.27	0.29 0.30 0.27
w3	main	2	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	261	605	944	400	10	83.33333333333333	3216	0.31 0.31 0.27	0.29 0.30 0.27
w3	main	3	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	332	667	1099	200	6	100.0	3508	0.34 0.31 0.27	0.25 0.29 0.27
w3	main	3	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	246	564	947	400	11	91.66666666666667	5108	0.34 0.31 0.27	0.25 0.29 0.27
w3	main	3	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	437	823	1116	200	7	116.66666666666667	3268	0.25 0.29 0.27	0.25 0.29 0.27
w3	main	3	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	268	637	1049	400	9	75.0	3268	0.25 0.29 0.27	0.25 0.29 0.27
w3	main	3	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	348	690	924	200	6	100.0	3344	0.25 0.29 0.27	0.31 0.30 0.27
w3	main	3	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	258	590	1053	400	10	83.33333333333333	3412	0.25 0.29 0.27	0.31 0.30 0.27
