scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	688.0000,567.0000,571.0000	644.0000,620.0000,563.0000	-6.3953,9.3474,-1.4011	0.0070	10.00%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	1165.0000,1158.0000,901.0000	1152.0000,1074.0000,857.0000	-1.1159,-7.2539,-4.8835	0.0060	10.00%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	133.3333,116.6667,100.0000	133.3333,116.6667,116.6667	0.0000,0.0000,16.6667	0.1429	28.57%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3040.0000,3076.0000,3148.0000	3136.0000,3140.0000,3172.0000	3.1579,2.0806,0.7624	0.0117	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	644.0000,620.0000,563.0000	961.0000,560.0000,673.0000	49.2236,-9.6774,19.5382	0.0387	10.00%	2		repeatable regression
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	1152.0000,1074.0000,857.0000	2047.0000,796.0000,1125.0000	77.6910,-25.8845,31.2719	0.0726	14.53%	2		repeatable regression
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	133.3333,116.6667,116.6667	183.3333,116.6667,133.3333	37.5000,0.0000,14.2857	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3136.0000,3140.0000,3172.0000	3580.0000,3632.0000,3664.0000	14.1582,15.6688,15.5107	0.0013	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	455.0000,492.0000,491.0000	520.0000,566.0000,474.0000	14.2857,15.0407,-3.4623	0.0020	10.00%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	783.0000,816.0000,687.0000	1244.0000,1046.0000,706.0000	58.8761,28.1863,2.7656	0.0421	10.00%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	91.6667,91.6667,100.0000	108.3333,133.3333,100.0000	18.1818,45.4545,0.0000	0.0000	25.00%	1	1	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3044.0000,3080.0000,3156.0000	3140.0000,3140.0000,3172.0000	3.1537,1.9481,0.5070	0.0117	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p95_us	3	520.0000,566.0000,474.0000	557.0000,490.0000,652.0000	7.1154,-13.4276,37.5527	0.0885	17.69%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p99_us	3	1244.0000,1046.0000,706.0000	1139.0000,854.0000,1701.0000	-8.4405,-18.3556,140.9348	0.1893	37.86%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	cpu_us_per_correct_query	3	108.3333,133.3333,100.0000	125.0000,108.3333,133.3333	15.3846,-18.7500,33.3333	0.0769	25.00%	1	0	no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3140.0000,3140.0000,3172.0000	4984.0000,5048.0000,5076.0000	58.7261,60.7643,60.0252	0.0000	32768 KiB	0		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	p95_us	3	327.0000,459.0000,356.0000	351.0000,385.0000,343.0000	7.3394,-16.1220,-3.6517	0.0815	16.29%	0		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	p99_us	3	605.0000,673.0000,639.0000	744.0000,1028.0000,815.0000	22.9752,52.7489,27.5430	0.0532	10.64%	3		repeatable regression
