scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	628.0000,563.0000,732.0000	764.0000,530.0000,604.0000	21.6561,-5.8615,-17.4863	0.1035	20.70%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	903.0000,1025.0000,1291.0000	1489.0000,697.0000,949.0000	64.8948,-32.0000,-26.4911	0.1190	23.80%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	116.6667,116.6667,133.3333	133.3333,116.6667,116.6667	14.2857,0.0000,-12.5000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3024.0000,3168.0000,3128.0000	3168.0000,3140.0000,3124.0000	4.7619,-0.8838,-0.1279	0.0128	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	764.0000,530.0000,604.0000	537.0000,764.0000,527.0000	-29.7120,44.1509,-12.7483	0.1225	24.50%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	1489.0000,697.0000,949.0000	711.0000,1723.0000,749.0000	-52.2498,147.2023,-21.0748	0.2655	53.11%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	133.3333,116.6667,116.6667	116.6667,150.0000,116.6667	-12.5000,28.5714,0.0000	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3168.0000,3140.0000,3124.0000	3596.0000,3628.0000,3480.0000	13.5101,15.5414,11.3956	0.0051	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	437.0000,562.0000,511.0000	601.0000,433.0000,526.0000	37.5286,-22.9537,2.9354	0.0998	19.96%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	666.0000,1075.0000,849.0000	1261.0000,701.0000,1053.0000	89.3393,-34.7907,24.0283	0.2155	43.11%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	91.6667,116.6667,108.3333	125.0000,100.0000,125.0000	36.3636,-14.2857,15.3846	0.0769	25.00%	1	0	no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3028.0000,3172.0000,3132.0000	3172.0000,3144.0000,3128.0000	4.7556,-0.8827,-0.1277	0.0128	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p95_us	3	601.0000,433.0000,526.0000	484.0000,543.0000,504.0000	-19.4676,25.4042,-4.1825	0.1426	28.52%	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p99_us	3	1261.0000,701.0000,1053.0000	685.0000,1347.0000,1423.0000	-45.6780,92.1541,35.1377	0.1975	39.51%	1		no repeatable regression under frozen guard
