scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	305	576	1140	200	7	116.66666666666667	2992	0.45 0.42 0.27	0.32 0.39 0.26
w1-tcp	main	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	201	406	853	400	11	91.66666666666667	2992	0.45 0.42 0.27	0.32 0.39 0.26
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	277	556	913	200	7	116.66666666666667	3064	0.32 0.39 0.26	0.31 0.38 0.26
w1-tcp	main	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	259	552	1234	400	15	125.0	3064	0.32 0.39 0.26	0.31 0.38 0.26
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	302	644	1066	200	8	133.33333333333334	3584	0.31 0.38 0.26	0.24 0.36 0.26
w1-tcp	main	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	216	501	902	400	14	116.66666666666667	5388	0.31 0.38 0.26	0.24 0.36 0.26
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	284	551	914	200	7	116.66666666666667	3176	0.24 0.36 0.26	0.17 0.34 0.25
w1-tcp	main	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	202	430	678	400	12	100.0	3176	0.24 0.36 0.26	0.17 0.34 0.25
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	343	661	1031	200	8	133.33333333333334	3520	0.17 0.34 0.25	0.48 0.40 0.28
w1-tcp	main	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	230	482	853	400	13	108.33333333333333	5324	0.17 0.34 0.25	0.48 0.40 0.28
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	282	593	782	200	6	100.0	3028	0.48 0.40 0.28	0.42 0.39 0.27
w1-tcp	main	2	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	248	573	1126	400	13	108.33333333333333	3032	0.48 0.40 0.28	0.42 0.39 0.27
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	279	530	771	200	8	133.33333333333334	3416	0.42 0.39 0.27	0.33 0.37 0.27
w1-tcp	main	3	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	208	456	658	400	13	108.33333333333333	5216	0.42 0.39 0.27	0.33 0.37 0.27
w1-tcp	main	3	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	318	660	1707	200	8	133.33333333333334	3060	0.33 0.37 0.27	0.52 0.41 0.29
w1-tcp	main	3	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	198	450	719	400	11	91.66666666666667	3064	0.33 0.37 0.27	0.52 0.41 0.29
w1-tcp	main	3	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	295	556	900	200	8	133.33333333333334	3224	0.52 0.41 0.29	0.44 0.40 0.28
w1-tcp	main	3	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	282	676	1169	400	17	141.66666666666666	3224	0.52 0.41 0.29	0.44 0.40 0.28
w2	cold	1	before_off	1	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	157	315	1334	200	3	50.0	3244	0.44 0.40 0.28	0.29 0.37 0.27
w2	warm	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	147	286	342	200	2	33.333333333333336	3228	0.44 0.40 0.28	0.29 0.37 0.27
w2	warm	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	131	301	524	400	5	41.666666666666664	3232	0.44 0.40 0.28	0.29 0.37 0.27
w2	cold	1	after_off	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	166	315	465	200	3	50.0	3316	0.29 0.37 0.27	0.29 0.36 0.27
w2	warm	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	176	329	508	200	4	66.66666666666667	3252	0.29 0.37 0.27	0.29 0.36 0.27
w2	warm	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	168	391	1106	400	7	58.333333333333336	3256	0.29 0.37 0.27	0.29 0.36 0.27
w2	cold	1	after_on	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	171	319	433	200	4	66.66666666666667	3464	0.29 0.36 0.27	0.29 0.36 0.27
w2	warm	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	157	328	463	200	3	50.0	3392	0.29 0.36 0.27	0.29 0.36 0.27
w2	warm	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	144	324	815	400	7	58.333333333333336	4332	0.29 0.36 0.27	0.29 0.36 0.27
w2	cold	2	after_off	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	150	284	379	200	2	33.333333333333336	3188	0.29 0.36 0.27	0.23 0.34 0.27
w2	warm	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	148	299	381	200	3	50.0	3292	0.29 0.36 0.27	0.23 0.34 0.27
w2	warm	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	141	317	701	400	6	50.0	3296	0.29 0.36 0.27	0.23 0.34 0.27
w2	cold	2	after_on	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	158	322	484	200	3	50.0	3352	0.23 0.34 0.27	0.33 0.35 0.28
w2	warm	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	156	313	487	200	3	50.0	3452	0.23 0.34 0.27	0.33 0.35 0.28
w2	warm	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	141	330	775	400	7	58.333333333333336	4340	0.23 0.34 0.27	0.33 0.35 0.28
w2	cold	2	before_off	1	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	160	301	511	200	2	33.333333333333336	3268	0.33 0.35 0.28	0.35 0.36 0.28
