scenario	repetition	position	candidate	start_utc	end_utc	runner_exit	loadavg_before	loadavg_after
w1-udp	1	1	go	2026-09-23T19:57:58Z	2026-09-23T19:58:19Z	1	0.11,0.09,0.09	0.20,0.11,0.10
w1-udp	1	2	rust	2026-09-23T19:58:19Z	2026-09-23T19:58:41Z	1	0.20,0.11,0.10	0.21,0.12,0.10
w1-udp	2	1	rust	2026-09-23T19:58:41Z	2026-09-23T19:59:02Z	0	0.21,0.12,0.10	0.15,0.11,0.09
w1-udp	2	2	go	2026-09-23T19:59:02Z	2026-09-23T19:59:24Z	1	0.15,0.11,0.09	0.16,0.12,0.09
w1-udp	3	1	go	2026-09-23T19:59:24Z	2026-09-23T19:59:46Z	1	0.16,0.12,0.09	0.12,0.11,0.09
w1-udp	3	2	rust	2026-09-23T19:59:46Z	2026-09-23T20:00:07Z	0	0.12,0.11,0.09	0.14,0.12,0.09
w1-tcp	1	1	go	2026-09-23T20:00:07Z	2026-09-23T20:00:26Z	1	0.14,0.12,0.09	0.25,0.14,0.10
w1-tcp	1	2	rust	2026-09-23T20:00:26Z	2026-09-23T20:00:45Z	1	0.25,0.14,0.10	0.41,0.18,0.11
w1-tcp	2	1	rust	2026-09-23T20:00:45Z	2026-09-23T20:01:03Z	1	0.41,0.18,0.11	0.53,0.22,0.13
w1-tcp	2	2	go	2026-09-23T20:01:03Z	2026-09-23T20:01:22Z	1	0.53,0.22,0.13	0.38,0.21,0.12
w1-tcp	3	1	go	2026-09-23T20:01:22Z	2026-09-23T20:01:41Z	1	0.38,0.21,0.12	0.56,0.26,0.14
w1-tcp	3	2	rust	2026-09-23T20:01:41Z	2026-09-23T20:01:59Z	0	0.56,0.26,0.14	0.40,0.24,0.14
w2	1	1	go	2026-09-23T20:02:00Z	2026-09-23T20:02:28Z	1	0.40,0.24,0.14	0.41,0.25,0.14
w2	1	2	rust	2026-09-23T20:02:29Z	2026-09-23T20:02:57Z	1	0.41,0.25,0.14	0.44,0.28,0.16
w2	2	1	rust	2026-09-23T20:02:57Z	2026-09-23T20:03:26Z	1	0.44,0.28,0.16	0.32,0.26,0.16
w2	2	2	go	2026-09-23T20:03:26Z	2026-09-23T20:03:55Z	0	0.32,0.26,0.16	0.19,0.24,0.15
w2	3	1	go	2026-09-23T20:03:55Z	2026-09-23T20:04:24Z	0	0.19,0.24,0.15	0.18,0.23,0.15
w2	3	2	rust	2026-09-23T20:04:24Z	2026-09-23T20:04:53Z	0	0.18,0.23,0.15	0.12,0.21,0.15
w3	1	1	go	2026-09-23T20:04:53Z	2026-09-23T20:05:15Z	0	0.12,0.21,0.15	0.21,0.23,0.15
w3	1	2	rust	2026-09-23T20:05:15Z	2026-09-23T20:05:37Z	1	0.21,0.23,0.15	0.21,0.23,0.15
w3	2	1	rust	2026-09-23T20:05:37Z	2026-09-23T20:05:59Z	0	0.21,0.23,0.15	0.23,0.23,0.16
w3	2	2	go	2026-09-23T20:05:59Z	2026-09-23T20:06:21Z	0	0.23,0.23,0.16	0.29,0.24,0.16
w3	3	1	go	2026-09-23T20:06:21Z	2026-09-23T20:06:43Z	1	0.29,0.24,0.16	0.20,0.23,0.16
w3	3	2	rust	2026-09-23T20:06:43Z	2026-09-23T20:07:04Z	1	0.20,0.23,0.16	0.28,0.24,0.17
