scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	285	567	804	200	7	116.66666666666667	3064	0.03 0.06 0.08	0.02 0.05 0.08
w1-tcp	main	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	212	493	866	400	12	100.0	3068	0.03 0.06 0.08	0.02 0.05 0.08
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	311	574	1212	200	8	133.33333333333334	3144	0.02 0.05 0.08	0.22 0.10 0.09
w1-tcp	main	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	208	508	867	400	13	108.33333333333333	3148	0.02 0.05 0.08	0.22 0.10 0.09
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	284	529	778	200	6	100.0	3000	0.22 0.10 0.09	0.17 0.09 0.09
w1-tcp	main	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	238	514	937	400	14	116.66666666666667	3004	0.22 0.10 0.09	0.17 0.09 0.09
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	287	595	915	200	7	116.66666666666667	2976	0.17 0.09 0.09	0.12 0.09 0.09
w1-tcp	main	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	231	543	1261	400	13	108.33333333333333	2980	0.17 0.09 0.09	0.12 0.09 0.09
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	312	567	950	200	8	133.33333333333334	3120	0.12 0.09 0.09	0.09 0.08 0.09
w1-tcp	main	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	191	417	623	400	11	91.66666666666667	3120	0.12 0.09 0.09	0.09 0.08 0.09
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	279	534	955	200	7	116.66666666666667	3112	0.09 0.08 0.09	0.06 0.07 0.08
w1-tcp	main	2	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	227	480	701	400	14	116.66666666666667	3116	0.09 0.08 0.09	0.06 0.07 0.08
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	360	675	1073	200	9	150.0	3064	0.06 0.07 0.08	0.05 0.07 0.08
w1-tcp	main	3	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	277	659	1058	400	16	133.33333333333334	3068	0.06 0.07 0.08	0.05 0.07 0.08
w1-tcp	main	3	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	319	608	1337	200	8	133.33333333333334	3128	0.05 0.07 0.08	0.23 0.11 0.10
w1-tcp	main	3	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	248	503	943	400	15	125.0	3128	0.05 0.07 0.08	0.23 0.11 0.10
w1-tcp	main	3	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	398	885	2005	200	9	150.0	2992	0.23 0.11 0.10	0.31 0.14 0.10
w1-tcp	main	3	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	246	558	941	400	15	125.0	2996	0.23 0.11 0.10	0.31 0.14 0.10
w2	cold	1	before_off	1	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	176	338	528	200	3	50.0	3124	0.31 0.14 0.10	0.35 0.16 0.11
w2	warm	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	202	446	1909	200	3	50.0	3240	0.31 0.14 0.10	0.35 0.16 0.11
w2	warm	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	89	237	353	400	4	33.333333333333336	3240	0.31 0.14 0.10	0.35 0.16 0.11
w2	cold	1	after_off	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	141	279	489	200	3	50.0	3196	0.35 0.16 0.11	0.37 0.18 0.11
w2	warm	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	185	345	628	200	3	50.0	3288	0.35 0.16 0.11	0.37 0.18 0.11
w2	warm	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	102	252	418	400	5	41.666666666666664	3288	0.35 0.16 0.11	0.37 0.18 0.11
w2	cold	1	after_on	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	170	328	426	200	3	50.0	3116	0.37 0.18 0.11	0.44 0.21 0.13
w2	warm	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	189	395	845	200	3	50.0	3248	0.37 0.18 0.11	0.44 0.21 0.13
