scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	619.0000,551.0000,545.0000	630.0000,465.0000,532.0000	1.7771,-15.6080,-2.3853	0.0109	10.00%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	884.0000,794.0000,736.0000	1076.0000,651.0000,805.0000	21.7195,-18.0101,9.3750	0.0730	14.61%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	133.3333,116.6667,116.6667	133.3333,100.0000,116.6667	0.0000,-14.2857,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3160.0000,3072.0000,3128.0000	3156.0000,3164.0000,3068.0000	-0.1266,2.9948,-1.9182	0.0102	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	630.0000,465.0000,532.0000	526.0000,630.0000,469.0000	-16.5079,35.4839,-11.8421	0.1259	25.19%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	1076.0000,651.0000,805.0000	696.0000,819.0000,644.0000	-35.3160,25.8065,-20.0000	0.1913	38.26%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	133.3333,100.0000,116.6667	116.6667,133.3333,100.0000	-12.5000,33.3333,-14.2857	0.1429	28.57%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3156.0000,3164.0000,3068.0000	3112.0000,3144.0000,3168.0000	-1.3942,-0.6321,3.2595	0.0025	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	362.0000,628.0000,390.0000	469.0000,386.0000,811.0000	29.5580,-38.5350,107.9487	0.0718	14.36%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	575.0000,1237.0000,563.0000	731.0000,565.0000,1336.0000	27.1304,-54.3250,137.3002	0.0209	10.00%	2		repeatable regression
