scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	1	normal-reference	200	0	5000	5000	5000	5000	0	0	0	0	0	0	604	1224	2290	200	91	182.0	3072	0.07 0.08 0.09	0.26 0.13 0.10
w1-tcp	main	1	before_off	1	1	overload	400	0	9999	9999	9999	9999	0	0	0	0	0	1	463	914	1776	399.96	137	137.01370137013703	3072	0.07 0.08 0.09	0.26 0.13 0.10
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	569	1033	2109	200	85	170.0	3156	0.26 0.13 0.10	0.37 0.20 0.13
w1-tcp	main	1	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	438	828	1586	400	128	128.0	3160	0.26 0.13 0.10	0.37 0.20 0.13
w1-tcp	main	1	after_on	2	1	normal-reference	200	0	4997	4997	4997	4997	0	0	0	0	0	3	565	990	1939	199.88	82	164.09845907544528	3004	0.37 0.20 0.13	0.25 0.19 0.13
w1-tcp	main	1	after_on	2	1	overload	400	0	9999	9999	9999	9999	0	0	0	0	0	1	460	886	1706	399.96	136	136.01360136013602	3004	0.37 0.20 0.13	0.25 0.19 0.13
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	574	1051	1891	200	86	172.0	3160	0.25 0.19 0.13	0.29 0.20 0.13
w1-tcp	main	2	after_off	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	480	1000	1934	400	144	144.0	3160	0.25 0.19 0.13	0.29 0.20 0.13
w1-tcp	main	2	after_on	2	1	normal-reference	200	0	5000	5000	5000	5000	0	0	0	0	0	0	574	1043	1874	200	86	172.0	2992	0.29 0.20 0.13	0.29 0.22 0.14
w1-tcp	main	2	after_on	2	1	overload	400	0	9996	9996	9996	9996	0	0	0	0	0	4	462	913	1918	399.84	138	138.05522208883554	3000	0.29 0.20 0.13	0.29 0.22 0.14
w1-tcp	main	2	before_off	1	1	normal-reference	200	0	5000	5000	5000	5000	0	0	0	0	0	0	571	1026	1979	200	87	174.0	3124	0.29 0.22 0.14	0.16 0.19 0.13
w1-tcp	main	2	before_off	1	1	overload	400	0	9996	9996	9996	9996	0	0	0	0	0	4	433	824	1606	399.84	128	128.05122048819527	3124	0.29 0.22 0.14	0.16 0.19 0.13
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	5000	5000	5000	5000	0	0	0	0	0	0	529	954	1933	200	80	160.0	3064	0.16 0.19 0.13	0.25 0.21 0.14
w1-tcp	main	3	after_on	2	0	overload	400	1	10000	10000	10000	10000	0	0	0	0	0	0	467	872	1629	400	137	137.0	3068	0.16 0.19 0.13	0.25 0.21 0.14
w1-tcp	main	3	before_off	1	1	normal-reference	200	0	5000	5000	5000	5000	0	0	0	0	0	0	556	993	1913	200	83	166.0	3048	0.25 0.21 0.14	0.50 0.26 0.16
w1-tcp	main	3	before_off	1	1	overload	400	0	9999	9999	9999	9999	0	0	0	0	0	1	462	900	1681	399.96	139	139.013901390139	3056	0.25 0.21 0.14	0.50 0.26 0.16
w1-tcp	main	3	after_off	2	1	normal-reference	200	0	4999	4999	4999	4999	0	0	0	0	0	1	565	1043	1994	199.96	85	170.03400680136028	3044	0.50 0.26 0.16	0.80 0.35 0.20
w1-tcp	main	3	after_off	2	1	overload	400	0	10000	10000	10000	10000	0	0	0	0	0	0	449	884	1695	400	135	135.0	3044	0.50 0.26 0.16	0.80 0.35 0.20
