scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	1	1118.0000	1048.0000	-6.2612	0.0000	10.00%	0		inconclusive: fewer than 3 valid pairs
w1-tcp	main	200	after_off_vs_before_off	p99_us	1	2111.0000	1946.0000	-7.8162	0.0000	10.00%	0		inconclusive: fewer than 3 valid pairs
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	1	166.0000	174.0000	4.8193	0.0000	25.00%	0	0	inconclusive: fewer than 3 valid pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	1	3072.0000	3108.0000	1.1719	0.0000	8192 KiB	0		inconclusive: fewer than 3 valid pairs
w1-tcp	main	200	after_on_vs_after_off	p95_us	2	995.0000,1048.0000	1277.0000,1422.0000	28.3417,35.6870	0.0259	10.00%	2		inconclusive: fewer than 3 valid pairs
w1-tcp	main	200	after_on_vs_after_off	p99_us	2	1766.0000,1946.0000	2350.0000,2618.0000	33.0691,34.5324	0.0485	10.00%	2		inconclusive: fewer than 3 valid pairs
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	2	168.0000,174.0000	188.0000,182.0000	11.9048,4.5977	0.0175	25.00%	0	0	inconclusive: fewer than 3 valid pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	2	2996.0000,3108.0000	3136.0000,3116.0000	4.6729,0.2574	0.0183	32768 KiB	0		inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_off_vs_before_off	p95_us	1	989.0000	903.0000	-8.6957	0.0000	10.00%	0		inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_off_vs_before_off	p99_us	1	1947.0000	1835.0000	-5.7524	0.0000	10.00%	0		inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_off_vs_before_off	cpu_us_per_correct_query	1	145.0000	135.0000	-6.8966	0.0000	25.00%	0	0	inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_off_vs_before_off	rss_peak_kib_sampled	1	3080.0000	3112.0000	1.0390	0.0000	8192 KiB	0		inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_on_vs_after_off	p95_us	2	868.0000,903.0000	1149.0000,898.0000	32.3733,-0.5537	0.0198	10.00%	1		inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_on_vs_after_off	p99_us	2	1817.0000,1835.0000	2300.0000,1873.0000	26.5823,2.0708	0.0049	10.00%	1		inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_on_vs_after_off	cpu_us_per_correct_query	2	128.0000,135.0000	153.0000,136.0000	19.5312,0.7407	0.0266	25.00%	0	1	inconclusive: fewer than 3 valid pairs
w1-tcp	main	400	after_on_vs_after_off	rss_peak_kib_sampled	2	3004.0000,3112.0000	3144.0000,3116.0000	4.6605,0.1285	0.0177	32768 KiB	0		inconclusive: fewer than 3 valid pairs
