scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	704.0000,486.0000,762.0000	525.0000,585.0000,488.0000	-25.4261,20.3704,-35.9580	0.0824	16.48%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	1297.0000,633.0000,1149.0000	913.0000,882.0000,651.0000	-29.6068,39.3365,-43.3420	0.1288	25.76%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	150.0000,100.0000,133.3333	116.6667,116.6667,116.6667	-22.2222,16.6667,-12.5000	0.1250	25.00%	0	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3116.0000,3116.0000,3104.0000	3136.0000,3152.0000,3040.0000	0.6418,1.1553,-2.0619	0.0000	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	525.0000,585.0000,488.0000	556.0000,667.0000,521.0000	5.9048,14.0171,6.7623	0.0705	14.10%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	913.0000,882.0000,651.0000	722.0000,1166.0000,700.0000	-20.9200,32.1995,7.5269	0.0351	10.00%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	116.6667,116.6667,116.6667	116.6667,116.6667,116.6667	0.0000,0.0000,0.0000	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3136.0000,3152.0000,3040.0000	3108.0000,3160.0000,3132.0000	-0.8929,0.2538,3.0263	0.0051	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	447.0000,523.0000,559.0000	569.0000,412.0000,641.0000	27.2931,-21.2237,14.6691	0.0688	13.77%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	793.0000,834.0000,1134.0000	1002.0000,583.0000,1480.0000	26.3556,-30.0959,30.5115	0.0492	10.00%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	100.0000,108.3333,108.3333	125.0000,83.3333,133.3333	25.0000,-23.0769,23.0769	0.0000	25.00%	0	0	no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3116.0000,3120.0000,3108.0000	3140.0000,3156.0000,3044.0000	0.7702,1.1538,-2.0592	0.0013	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p95_us	3	569.0000,412.0000,641.0000	488.0000,653.0000,429.0000	-14.2355,58.4951,-33.0733	0.1265	25.31%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p99_us	3	1002.0000,583.0000,1480.0000	723.0000,1298.0000,653.0000	-27.8443,122.6415,-55.8784	0.4182	83.63%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	cpu_us_per_correct_query	3	125.0000,83.3333,133.3333	91.6667,116.6667,100.0000	-26.6667,40.0000,-25.0000	0.0667	25.00%	1	0	no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3140.0000,3156.0000,3044.0000	3108.0000,3164.0000,3136.0000	-1.0191,0.2535,3.0223	0.0051	32768 KiB	0		no repeatable regression under frozen guard
