scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	345	704	1297	200	9	150.0	3116	0.12 0.07 0.08	0.08 0.07 0.08
w1-tcp	main	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	212	447	793	400	12	100.0	3116	0.12 0.07 0.08	0.08 0.07 0.08
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	282	525	913	200	7	116.66666666666667	3136	0.08 0.07 0.08	0.52 0.16 0.11
w1-tcp	main	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	259	569	1002	400	15	125.0	3140	0.08 0.07 0.08	0.52 0.16 0.11
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	277	556	722	200	7	116.66666666666667	3108	0.52 0.16 0.11	0.37 0.15 0.10
w1-tcp	main	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	219	488	723	400	11	91.66666666666667	3108	0.52 0.16 0.11	0.37 0.15 0.10
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	286	585	882	200	7	116.66666666666667	3152	0.37 0.15 0.10	0.35 0.16 0.11
w1-tcp	main	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	192	412	583	400	10	83.33333333333333	3156	0.37 0.15 0.10	0.35 0.16 0.11
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	318	667	1166	200	7	116.66666666666667	3160	0.35 0.16 0.11	0.46 0.20 0.12
w1-tcp	main	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	262	653	1298	400	14	116.66666666666667	3164	0.35 0.16 0.11	0.46 0.20 0.12
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	259	486	633	200	6	100.0	3116	0.46 0.20 0.12	0.50 0.22 0.13
w1-tcp	main	2	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	226	523	834	400	13	108.33333333333333	3120	0.46 0.20 0.12	0.50 0.22 0.13
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	270	521	700	200	7	116.66666666666667	3132	0.50 0.22 0.13	0.42 0.22 0.13
w1-tcp	main	3	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	202	429	653	400	12	100.0	3136	0.50 0.22 0.13	0.42 0.22 0.13
w1-tcp	main	3	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	349	762	1149	200	8	133.33333333333334	3104	0.42 0.22 0.13	0.38 0.22 0.13
w1-tcp	main	3	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	221	559	1134	400	13	108.33333333333333	3108	0.42 0.22 0.13	0.38 0.22 0.13
w1-tcp	main	3	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	266	488	651	200	7	116.66666666666667	3040	0.38 0.22 0.13	0.29 0.21 0.13
w1-tcp	main	3	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	275	641	1480	400	16	133.33333333333334	3044	0.38 0.22 0.13	0.29 0.21 0.13
