scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	376.0000,535.0000,569.0000	369.0000,387.0000,585.0000	-1.8617,-27.6636,2.8120	0.0636	12.71%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	510.0000,705.0000,862.0000	501.0000,600.0000,809.0000	-1.7647,-14.8936,-6.1485	0.2227	44.54%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	66.6667,116.6667,116.6667	83.3333,83.3333,150.0000	25.0000,-28.5714,28.5714	0.0000	25.00%	1	1	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3056.0000,3124.0000,3012.0000	3032.0000,3180.0000,3180.0000	-0.7853,1.7926,5.5777	0.0144	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	369.0000,387.0000,585.0000	340.0000,705.0000,707.0000	-7.8591,82.1705,20.8547	0.0465	10.00%	2		repeatable regression
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	501.0000,600.0000,809.0000	432.0000,1173.0000,1030.0000	-13.7725,95.5000,27.3177	0.1650	33.00%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	83.3333,83.3333,150.0000	83.3333,166.6667,166.6667	0.0000,100.0000,11.1111	0.0000	25.00%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3032.0000,3180.0000,3180.0000	3540.0000,3644.0000,3600.0000	16.7546,14.5912,13.2075	0.0000	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	405.0000,559.0000,421.0000	340.0000,505.0000,601.0000	-16.0494,-9.6601,42.7553	0.0380	10.00%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	552.0000,856.0000,608.0000	447.0000,1075.0000,1021.0000	-19.0217,25.5841,67.9276	0.0921	18.42%	2		repeatable regression
