scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	204	376	510	200	4	66.66666666666667	3056	0.06 0.11 0.14	0.21 0.13 0.15
w1-tcp	main	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	162	405	552	400	10	83.33333333333333	3060	0.06 0.11 0.14	0.21 0.13 0.15
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	200	369	501	200	5	83.33333333333333	3032	0.21 0.13 0.15	0.16 0.12 0.15
w1-tcp	main	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	192	340	447	400	11	91.66666666666667	3032	0.21 0.13 0.15	0.16 0.12 0.15
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	194	340	432	200	5	83.33333333333333	3540	0.16 0.12 0.15	0.24 0.15 0.15
w1-tcp	main	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	134	262	387	400	8	66.66666666666667	4944	0.16 0.12 0.15	0.24 0.15 0.15
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	208	387	600	200	5	83.33333333333333	3180	0.24 0.15 0.15	0.25 0.15 0.16
w1-tcp	main	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	294	505	1075	400	15	125.0	3184	0.24 0.15 0.15	0.25 0.15 0.16
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	407	705	1173	200	10	166.66666666666666	3644	0.25 0.15 0.16	0.18 0.14 0.15
w1-tcp	main	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	236	465	666	400	13	108.33333333333333	5040	0.25 0.15 0.16	0.18 0.14 0.15
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	328	535	705	200	7	116.66666666666667	3124	0.18 0.14 0.15	0.29 0.17 0.16
w1-tcp	main	2	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	289	559	856	400	15	125.0	3128	0.18 0.14 0.15	0.29 0.17 0.16
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	399	707	1030	200	10	166.66666666666666	3600	0.29 0.17 0.16	0.20 0.16 0.16
w1-tcp	main	3	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	296	513	757	400	16	133.33333333333334	5020	0.29 0.17 0.16	0.20 0.16 0.16
w1-tcp	main	3	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	319	569	862	200	7	116.66666666666667	3012	0.20 0.16 0.16	0.14 0.15 0.15
w1-tcp	main	3	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	223	421	608	400	13	108.33333333333333	3016	0.20 0.16 0.16	0.14 0.15 0.15
w1-tcp	main	3	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	366	585	809	200	9	150.0	3180	0.14 0.15 0.15	0.18 0.15 0.15
