scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	544.0000,532.0000,676.0000	850.0000,818.0000,540.0000	56.2500,53.7594,-20.1183	0.0221	10.00%	2		repeatable regression
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	863.0000,794.0000,1224.0000	2020.0000,1580.0000,943.0000	134.0672,98.9924,-22.9575	0.0800	15.99%	2		repeatable regression
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	116.6667,116.6667,133.3333	150.0000,150.0000,116.6667	28.5714,28.5714,-12.5000	0.0000	25.00%	2	1	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3112.0000,3116.0000,3036.0000	3096.0000,3132.0000,2956.0000	-0.5141,0.5135,-2.6350	0.0013	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	850.0000,818.0000,540.0000	634.0000,757.0000,546.0000	-25.4118,-7.4572,1.1111	0.0391	10.00%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	2020.0000,1580.0000,943.0000	876.0000,1540.0000,777.0000	-56.6337,-2.5316,-17.6034	0.2785	55.70%	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	150.0000,150.0000,116.6667	150.0000,166.6667,133.3333	0.0000,11.1111,14.2857	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3096.0000,3132.0000,2956.0000	3456.0000,3596.0000,3480.0000	11.6279,14.8148,17.7267	0.0116	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	888.0000,460.0000,508.0000	699.0000,521.0000,601.0000	-21.2838,13.2609,18.3071	0.0945	18.90%	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	1991.0000,758.0000,934.0000	1390.0000,1084.0000,1300.0000	-30.1858,43.0079,39.1863	0.1884	37.69%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	125.0000,100.0000,108.3333	141.6667,125.0000,125.0000	13.3333,25.0000,15.3846	0.0769	25.00%	0	0	no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3116.0000,3120.0000,3040.0000	3100.0000,3136.0000,2960.0000	-0.5135,0.5128,-2.6316	0.0013	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p95_us	3	699.0000,521.0000,601.0000	582.0000,577.0000,426.0000	-16.7382,10.7486,-29.1181	0.1331	26.62%	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p99_us	3	1390.0000,1084.0000,1300.0000	1199.0000,1456.0000,615.0000	-13.7410,34.3173,-52.6923	0.0692	13.85%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	cpu_us_per_correct_query	3	141.6667,125.0000,125.0000	133.3333,125.0000,100.0000	-5.8824,0.0000,-20.0000	0.0000	25.00%	0	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	400	after_on_vs_after_off	rss_peak_kib_sampled	3	3100.0000,3136.0000,2960.0000	4912.0000,5024.0000,4924.0000	58.4516,60.2041,66.3514	0.0116	32768 KiB	0		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	p95_us	3	325.0000,325.0000,370.0000	415.0000,340.0000,340.0000	27.6923,4.6154,-8.1081	0.0000	10.00%	1		no repeatable regression under frozen guard
w2	cold	200	after_off_vs_before_off	p99_us	3	828.0000,525.0000,875.0000	984.0000,663.0000,715.0000	18.8406,26.2857,-18.2857	0.0568	11.35%	2		repeatable regression
w2	cold	200	after_off_vs_before_off	cpu_us_per_correct_query	3	50.0000,33.3333,50.0000	50.0000,50.0000,50.0000	0.0000,50.0000,0.0000	0.0000	25.00%	1	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	cold	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3276.0000,3252.0000,3212.0000	3320.0000,3252.0000,3344.0000	1.3431,0.0000,4.1096	0.0074	8192 KiB	0		no repeatable regression under frozen guard
w2	cold	200	after_on_vs_after_off	p95_us	3	415.0000,340.0000,340.0000	334.0000,322.0000,394.0000	-19.5181,-5.2941,15.8824	0.0000	10.00%	1		no repeatable regression under frozen guard
w2	cold	200	after_on_vs_after_off	p99_us	3	984.0000,663.0000,715.0000	668.0000,515.0000,1068.0000	-32.1138,-22.3228,49.3706	0.0727	14.55%	1		no repeatable regression under frozen guard
w2	cold	200	after_on_vs_after_off	cpu_us_per_correct_query	3	50.0000,50.0000,50.0000	50.0000,50.0000,66.6667	0.0000,0.0000,33.3333	0.0000	25.00%	1	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w2	cold	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3320.0000,3252.0000,3344.0000	3360.0000,3456.0000,3328.0000	1.2048,6.2731,-0.4785	0.0072	32768 KiB	0		no repeatable regression under frozen guard
