scenario	phase	repetition	variant	pair_position	runner_exit	stage	qps	valid	scheduled	sent	received	correct_on_time	correct_late	wrong_response	protocol_error	transport_error	timeout	sender_shortfall	p50_us	p95_us	p99_us	effective_throughput_qps	cpu_ticks	cpu_us_per_correct_query	rss_peak_kib_sampled	host_load_start	host_load_end
w1-tcp	main	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	296	585	950	200	7	116.66666666666667	3128	0.41 0.45 0.30	0.35 0.44 0.30
w1-tcp	main	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	185	401	660	400	11	91.66666666666667	3132	0.41 0.45 0.30	0.35 0.44 0.30
w1-tcp	main	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	313	694	1450	200	8	133.33333333333334	3216	0.35 0.44 0.30	0.42 0.45 0.31
w1-tcp	main	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	273	631	1385	400	15	125.0	3220	0.35 0.44 0.30	0.42 0.45 0.31
w1-tcp	main	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	276	564	1038	200	7	116.66666666666667	3644	0.42 0.45 0.31	0.36 0.44 0.31
w1-tcp	main	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	210	453	646	400	12	100.0	5448	0.42 0.45 0.31	0.36 0.44 0.31
w1-tcp	main	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	286	565	779	200	8	133.33333333333334	3208	0.36 0.44 0.31	0.39 0.44 0.31
w1-tcp	main	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	210	477	974	400	12	100.0	3212	0.36 0.44 0.31	0.39 0.44 0.31
w1-tcp	main	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	369	781	1471	200	9	150.0	3520	0.39 0.44 0.31	0.30 0.42 0.30
w1-tcp	main	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	250	643	1323	400	14	116.66666666666667	5328	0.39 0.44 0.31	0.30 0.42 0.30
w1-tcp	main	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	268	535	868	200	7	116.66666666666667	3088	0.30 0.42 0.30	0.28 0.41 0.30
w1-tcp	main	2	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	234	489	788	400	13	108.33333333333333	3092	0.30 0.42 0.30	0.28 0.41 0.30
w1-tcp	main	3	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	260	521	734	200	7	116.66666666666667	3484	0.28 0.41 0.30	0.40 0.43 0.31
w1-tcp	main	3	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	205	452	624	400	12	100.0	5288	0.28 0.41 0.30	0.40 0.43 0.31
w1-tcp	main	3	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	325	707	1272	200	8	133.33333333333334	3136	0.40 0.43 0.31	0.31 0.41 0.31
w1-tcp	main	3	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	224	485	838	400	12	100.0	3140	0.40 0.43 0.31	0.31 0.41 0.31
w1-tcp	main	3	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	278	526	736	200	7	116.66666666666667	3132	0.31 0.41 0.31	0.49 0.44 0.32
w1-tcp	main	3	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	263	639	1563	400	15	125.0	3132	0.31 0.41 0.31	0.49 0.44 0.32
w2	cold	1	before_off	1	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	147	299	369	200	2	33.333333333333336	3188	0.49 0.44 0.32	0.37 0.42 0.31
w2	warm	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	163	357	862	200	2	33.333333333333336	3212	0.49 0.44 0.32	0.37 0.42 0.31
w2	warm	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	125	277	359	400	5	41.666666666666664	3212	0.49 0.44 0.32	0.37 0.42 0.31
w2	cold	1	after_off	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	150	295	379	200	3	50.0	3304	0.37 0.42 0.31	0.42 0.42 0.32
w2	warm	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	158	324	543	200	2	33.333333333333336	3336	0.37 0.42 0.31	0.42 0.42 0.32
w2	warm	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	138	323	906	400	5	41.666666666666664	3336	0.37 0.42 0.31	0.42 0.42 0.32
w2	cold	1	after_on	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	147	298	409	200	3	50.0	3468	0.42 0.42 0.32	0.26 0.38 0.31
w2	warm	1	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	161	310	473	200	3	50.0	3436	0.42 0.42 0.32	0.26 0.38 0.31
w2	warm	1	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	143	316	597	400	7	58.333333333333336	4312	0.42 0.42 0.32	0.26 0.38 0.31
w2	cold	2	after_off	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	153	299	388	200	2	33.333333333333336	3352	0.26 0.38 0.31	0.17 0.35 0.30
w2	warm	2	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	160	308	547	200	3	50.0	3312	0.26 0.38 0.31	0.17 0.35 0.30
w2	warm	2	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	146	358	922	400	6	50.0	3316	0.26 0.38 0.31	0.17 0.35 0.30
w2	cold	2	after_on	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	178	355	674	200	3	50.0	3440	0.17 0.35 0.30	0.10 0.32 0.29
w2	warm	2	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	146	313	474	200	3	50.0	3464	0.17 0.35 0.30	0.10 0.32 0.29
w2	warm	2	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	135	348	1004	400	6	50.0	4368	0.17 0.35 0.30	0.10 0.32 0.29
w2	cold	2	before_off	1	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	154	339	762	200	2	33.333333333333336	3240	0.10 0.32 0.29	0.11 0.30 0.28
w2	warm	2	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	144	296	433	200	2	33.333333333333336	3236	0.10 0.32 0.29	0.11 0.30 0.28
w2	warm	2	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	121	295	553	400	6	50.0	3240	0.10 0.32 0.29	0.11 0.30 0.28
w2	cold	3	after_on	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	179	316	580	200	3	50.0	3404	0.11 0.30 0.28	0.07 0.27 0.27
w2	warm	3	after_on	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	150	287	419	200	3	50.0	3480	0.11 0.30 0.28	0.07 0.27 0.27
w2	warm	3	after_on	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	120	278	403	400	6	50.0	4392	0.11 0.30 0.28	0.07 0.27 0.27
w2	cold	3	before_off	1	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	162	317	596	200	2	33.333333333333336	3168	0.07 0.27 0.27	0.26 0.30 0.28
w2	warm	3	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	147	289	433	200	2	33.333333333333336	3264	0.07 0.27 0.27	0.26 0.30 0.28
w2	warm	3	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	110	262	489	400	5	41.666666666666664	3268	0.07 0.27 0.27	0.26 0.30 0.28
w2	cold	3	after_off	2	0	pilot-w2-cold	200	1	600	600	600	600	0	0	0	0	0	0	180	328	843	200	3	50.0	3336	0.26 0.30 0.28	0.16 0.27 0.27
w2	warm	3	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	167	324	438	200	2	33.333333333333336	3296	0.26 0.30 0.28	0.16 0.27 0.27
w2	warm	3	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	162	399	970	400	7	58.333333333333336	3300	0.26 0.30 0.28	0.16 0.27 0.27
w3	main	1	before_off	1	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	390	829	1314	200	6	100.0	3136	0.16 0.27 0.27	0.25 0.28 0.27
w3	main	1	before_off	1	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	252	563	810	400	9	75.0	3204	0.16 0.27 0.27	0.25 0.28 0.27
w3	main	1	after_off	2	0	normal-reference	200	1	600	600	600	600	0	0	0	0	0	0	339	686	1019	200	6	100.0	3260	0.25 0.28 0.27	0.28 0.29 0.27
w3	main	1	after_off	2	0	overload	400	1	1200	1200	1200	1200	0	0	0	0	0	0	318	656	1130	400	12	100.0	3328	0.25 0.28 0.27	0.28 0.29 0.27
