scenario	phase	qps	comparison	metric	valid_pairs	control_values	candidate_values	paired_delta_pct	control_relative_mad	guard	pairs_above_guard	tick_resolution_limited_pairs	verdict
w1-tcp	main	200	after_off_vs_before_off	p95_us	3	519.0000,588.0000,554.0000	642.0000,548.0000,502.0000	23.6994,-6.8027,-9.3863	0.0614	12.27%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	p99_us	3	725.0000,1191.0000,820.0000	954.0000,786.0000,638.0000	31.5862,-34.0050,-22.1951	0.1159	23.17%	1		no repeatable regression under frozen guard
w1-tcp	main	200	after_off_vs_before_off	cpu_us_per_correct_query	3	100.0000,133.3333,116.6667	133.3333,116.6667,116.6667	33.3333,-12.5000,0.0000	0.1429	28.57%	1	2	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_off_vs_before_off	rss_peak_kib_sampled	3	3128.0000,3020.0000,3104.0000	3036.0000,3208.0000,3100.0000	-2.9412,6.2252,-0.1289	0.0077	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	200	after_on_vs_after_off	p95_us	3	642.0000,548.0000,502.0000	820.0000,567.0000,615.0000	27.7259,3.4672,22.5100	0.0839	16.79%	2		repeatable regression
w1-tcp	main	200	after_on_vs_after_off	p99_us	3	954.0000,786.0000,638.0000	2114.0000,778.0000,1045.0000	121.5933,-1.0178,63.7931	0.1883	37.66%	2		repeatable regression
w1-tcp	main	200	after_on_vs_after_off	cpu_us_per_correct_query	3	133.3333,116.6667,116.6667	133.3333,133.3333,133.3333	0.0000,14.2857,14.2857	0.0000	25.00%	0	3	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	200	after_on_vs_after_off	rss_peak_kib_sampled	3	3036.0000,3208.0000,3100.0000	3548.0000,3652.0000,3472.0000	16.8643,13.8404,12.0000	0.0206	32768 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_off_vs_before_off	p95_us	3	431.0000,431.0000,432.0000	491.0000,560.0000,421.0000	13.9211,29.9304,-2.5463	0.0000	10.00%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	p99_us	3	673.0000,681.0000,775.0000	852.0000,1291.0000,700.0000	26.5973,89.5742,-9.6774	0.0117	10.00%	2		repeatable regression
w1-tcp	main	400	after_off_vs_before_off	cpu_us_per_correct_query	3	91.6667,91.6667,100.0000	116.6667,108.3333,100.0000	27.2727,18.1818,0.0000	0.0000	25.00%	1	1	inconclusive: 100-Hz ticks differ by <2 in one or more pairs
w1-tcp	main	400	after_off_vs_before_off	rss_peak_kib_sampled	3	3132.0000,3024.0000,3108.0000	3044.0000,3216.0000,3104.0000	-2.8097,6.3492,-0.1287	0.0077	8192 KiB	0		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p95_us	3	491.0000,560.0000,421.0000	552.0000,507.0000,598.0000	12.4236,-9.4643,42.0428	0.1405	28.11%	1		no repeatable regression under frozen guard
w1-tcp	main	400	after_on_vs_after_off	p99_us	3	852.0000,1291.0000,700.0000	950.0000,889.0000,1458.0000	11.5023,-31.1387,108.2857	0.1784	35.68%	1		no repeatable regression under frozen guard
